BW,BK,J,AP,BB,X,AO,BR,BY,AI
-0.064387135,-0.080873269,0.05611599,-0.072543962,-0.040735118,0.004058924,-0.004073578,-0.012056216,-0.004984328,-0.000245677
0.023071975,-0.028982095,-0.042849122,0.011117954,0.043238559,-0.001997927,0.006032641,-0.014242488,-0.007523547,-0.003486983
0.03298027,0.038029731,0.021662547,0.033963474,0.029179888,0.013408463,0.007547709,-0.007315355,-0.002561485,0.003698192
0.018818311,0.015706689,-0.043014903,0.00578516,-0.043173155,-0.000478025,-0.005906036,-0.013891693,-0.006033506,-0.003595911
0.014582413,0.022982095,0.028685563,-0.027618795,0.002064377,-0.02521354,-0.004221079,0.000936203,-0.008530822,-0.000276366
0.02144582,0.045910983,-0.02946543,0.005998711,-0.046811855,0.004797256,0.007808473,-0.011228181,-0.005233309,-0.003170553
0.054112223,0.087512211,-0.002882572,-0.011115061,-0.020301414,-0.027413769,0.018953136,0.040724798,-0.003342698,0.00261532
-0.025383689,-0.039680422,0.094061575,0.024863285,0.030281682,0.015038441,-0.001432338,-0.001153218,-0.002116356,0.001191841
-0.057925949,-0.039195518,-0.025564148,0.041590562,-0.017593441,0.015386317,0.045968747,-0.008172142,-0.00198146,0.001459101
-0.006325896,0.052211616,0.023011572,-0.020063132,-0.024039186,-0.00940363,-0.001727175,-0.003590524,-0.001307258,0.003408986
0.041462973,0.035763345,0.09665331,0.021386512,-0.014409819,0.009290886,-0.000632966,0.000767595,-0.003263373,0.002831152
-0.012181011,0.009861283,0.04281411,0.038062188,-0.024672522,0.019911969,0.021596988,0.01025079,-0.001734069,0.005121498
0.043208654,0.045811035,0.015800917,0.025198494,-0.031626176,0.012499199,0.006317408,-0.007324355,0.00041504,0.00205578
-0.042480204,-0.085202335,0.002818307,-0.014344517,-0.041941387,-0.020920313,-0.002015736,-0.016143072,0.000613885,-0.003617662
0.043263483,0.078528245,0.019363371,-0.021752746,-0.013376366,0.010688959,0.006564895,0.036732531,-0.00209396,0.001626374
0.05615137,-0.089458162,0.035488696,0.016561172,-0.040132835,-0.051845555,-0.003769366,-0.013806851,-0.004712172,0.001335436
0.038556997,0.03755662,0.043307312,0.017509045,-0.002780293,0.00808546,-0.001057235,0.027760864,0.009500027,0.001907551
0.022864157,0.0235976,-0.030883512,0.019242941,-0.046770568,0.005256023,0.009524048,-0.014869831,-0.006332767,-0.006328602
0.003826529,-0.02263589,-0.042852711,0.008496552,-0.072631854,0.004763625,-0.007102115,0.027704943,-0.002040169,0.000715977
-0.028348648,-0.044661921,0.081213585,-0.004508195,0.060646062,0.022929148,-0.00239469,-0.001849199,-0.001992583,0.003264422
0.053414663,0.053681563,-0.013163919,0.021388991,0.036824196,0.008354833,-0.002008915,0.04780077,0.031616266,0.002131379
0.040382545,0.05011281,0.006750741,-0.020653249,0.029117349,0.01545512,-0.002206384,-0.009826723,-0.002821237,0.004539079
-0.055594686,-0.071606385,-0.005672446,-0.04070141,-0.026787671,-0.041212693,-0.003189815,-0.012282955,-0.005304323,-0.000311583
0.041904349,0.043446316,-0.025957289,0.028946542,-0.003069633,0.007819261,-0.001949211,-0.008606878,-0.00129461,0.004032841
0.037004389,0.03015826,-0.00228511,0.031984407,0.015478404,0.014642341,0.003601458,-0.006319947,-0.001916272,0.003850217
-0.062219218,-0.089067531,-0.032107675,0.01104073,0.013664517,0.006990547,-0.005162022,-0.00779789,-0.004862602,0.000312206
0.035763781,0.051190277,-0.025712536,0.020465852,4.06E-06,0.007738004,-0.002650392,-0.005905694,-0.001321715,0.002472473
0.040556959,0.046158576,0.023939404,0.022145196,-0.019920487,0.010660926,-0.00192666,-0.005851669,-0.000399851,0.001930209
0.012930464,0.046431778,-0.040917005,-0.113175235,-0.040911345,0.003317012,-0.004028827,-0.014243582,-0.006108573,0.00056495
-0.067897059,-0.077230414,-0.039219412,0.014912889,-0.041425134,-0.041588748,-0.005695841,-0.013187469,-0.006448483,0.000407135
-0.020139627,0.006938263,0.01515854,0.036380405,0.06048781,0.016842365,-0.003501716,-0.005583867,-0.003725748,0.004461398
0.025184062,0.028866506,-0.03934792,0.016163234,-0.041374405,0.006732282,-0.003866789,-0.013064807,-0.002880722,0.000544191
-0.033494451,0.016621321,0.062912184,0.011358441,-0.046885151,0.006802693,-0.004913054,-0.019633244,-0.004782399,0.002260687
-0.028504917,0.013603355,-0.023749501,-0.040209227,0.033051321,0.010426365,0.025053109,-0.005168585,-0.001337374,0.001737548
-0.06017651,-0.085785823,0.045612896,-0.04456559,-0.029908902,-0.049071668,-0.005288994,-0.009638655,-0.006383351,-0.000198891
0.029519688,0.016530128,-0.041409285,0.009230197,0.027184226,-0.000240458,-0.007853751,-0.012707919,-0.007859332,-0.000488744
0.025840556,0.016097936,-0.045112804,0.02133934,-0.065609204,0.006600456,-0.005584276,-0.015964511,-0.005588539,0.002452626
-0.008356282,0.023549888,0.056640026,0.010872676,-0.059121709,0.002381128,0.002529621,-0.007954495,0.003976573,0.000878543
0.056247687,0.063126191,0.00945152,0.022060931,0.006133573,0.011489255,0.000534858,-0.005706005,-0.001091913,0.007250386
-0.052545757,-0.002038034,-0.026700519,-0.046129355,-0.028186893,-0.041580007,-0.003242292,-0.014065755,-0.003234069,-0.00308812
0.050682809,0.059988313,-0.0308049,0.031611105,0.082329913,0.009418437,-0.001726006,-0.004097593,0.047880643,0.004414251
-0.023065679,0.021500579,-0.02820808,-0.02174039,-0.019518177,0.027692839,0.003392148,0.015737182,-0.002722404,0.005746475
-0.008370171,-0.104402908,0.029538488,-0.032418407,-0.040776499,-0.044158123,-0.001699236,-0.014869034,-0.006267856,0.000212241
0.058235662,0.0545825,0.072862935,0.016731734,-0.028408059,0.014472043,-0.001656446,0.040321761,-0.001308774,0.002788408
0.037498697,0.047112158,0.034045563,0.029519083,-0.007165176,0.011778803,-0.002114527,-0.004030818,0.017538223,0.003459878
-0.080175288,-0.078092575,-0.029834457,0.018677391,0.027919786,-0.041979765,-0.005635219,-0.009742333,-0.004929327,-0.001851123
-0.074764214,-0.089722361,-0.039177119,-0.08511306,0.020056813,0.006605232,-0.004206541,-0.009877003,-0.006343877,0.000350648
-0.063978298,-0.054242675,-0.034237335,-0.044629355,-0.02740626,-0.038383628,-0.004329933,-0.013332677,0.001757072,-0.000223484
-0.012028372,0.037423813,0.070246848,0.026314954,-0.017962311,0.016223651,-0.001831329,0.083406423,-0.003039327,0.003931504
0.058906941,-0.023662418,0.04698893,0.03012089,0.033055484,0.015733508,-0.003452992,-0.007005143,-0.000413762,0.003588985
0.010889388,0.014606359,0.054615083,0.007955132,-0.04839981,0.0076866,-0.000130108,-0.019458024,-0.007381771,-0.005104176
0.036305941,0.035124853,-0.024137179,0.023030495,0.039892367,0.008914373,-0.003828227,-0.006245837,-0.003857142,0.003824698
0.024767945,0.068347437,0.004798494,0.028931641,-0.034459585,-0.013021779,-0.000956736,-0.008128931,0.005533898,-0.007037922
0.05677396,0.062648819,-0.024547167,-0.040324348,0.031979275,0.013598027,-0.001769182,-0.004222896,-0.00254951,0.00318919
0.00167742,0.032706352,0.038909832,0.021223532,-0.00162454,0.010218459,-0.001130674,0.018402912,0.009573429,0.001703758
0.031218562,0.039769973,-0.024730774,0.025193841,-0.028961037,0.008127837,-0.000993401,-0.004914724,0.002557704,0.002643442
0.053419243,0.045490648,-0.02110531,0.020999677,0.020697545,0.014267878,-0.0015004,-0.007984136,-0.003579029,0.006656324
-0.044455167,-0.05690757,-0.037543899,-0.048025664,-0.022522784,0.005455594,-0.003475272,-0.01280241,-0.005763695,-0.002715473
0.026708843,0.02680227,0.086872856,0.032496759,-0.029896495,0.011743651,-0.002861385,-0.007581387,-0.001459138,0.003898242
0.013311899,0.020373958,-0.028603554,0.01943073,0.04031776,0.004240111,0.011489652,-0.004853406,-0.001794216,0.00185309
0.047172677,0.044869441,-0.020033964,0.034031276,0.086138698,0.010268634,-0.002283354,-0.006672212,-0.002140817,0.004066103
0.051141884,0.06203533,-0.024699577,0.024757421,0.051649713,0.010639009,-0.002431652,-0.008191667,-0.004162699,0.005585955
0.031918699,0.024479598,-0.021997436,-0.000533988,-0.033822194,0.001121691,0.000201499,0.018571085,-0.007436876,-0.015276941
-0.050829048,0.016571873,0.021878175,0.009241469,-0.048232981,0.004596433,-0.003794011,0.014513077,-0.004222483,-0.000535649
-0.067441411,-0.086708777,-0.013311242,-0.046321279,-0.0037338,-0.027471025,-0.005291986,-0.014962766,-0.006638217,-0.000172161
0.045043408,0.032326234,0.079010682,0.021141486,0.03400877,0.011633388,-0.002487525,0.047669007,-0.002391318,0.003241891
-0.035830582,-0.004306513,0.047220483,0.019657147,0.020968333,0.010396216,-0.002169013,-0.004745309,-0.0015481,0.0013887
-0.084237144,-0.096139231,0.029481413,0.01313843,-0.015460809,-0.003600174,-0.004541839,-0.008973556,-0.004993696,-0.000424955
0.03728092,0.049117467,-0.015946434,0.033418292,-0.020183563,0.007853298,0.00623534,-0.008187823,0.000974333,-0.001121165
0.043743711,0.041572275,0.037218401,0.016982166,0.008571031,0.013935726,0.003336379,0.01896266,0.000896818,7.32E-05
0.02072868,0.018882767,0.050976577,0.001730988,-0.042655382,-0.002211389,-0.003991075,-0.015662593,-0.00717614,0.001364743
0.056167834,0.067714148,0.068733007,0.0173275,0.040016153,0.014159991,-0.000963714,0.049350076,0.032756897,-0.001095667
-0.071649554,-0.075899119,-0.015901951,0.008998893,-0.026717555,0.004215841,-0.005034845,-0.01118468,-0.003692081,-0.002692333
0.039273289,-0.047307425,-0.023100715,0.038086092,0.026876743,-0.01724131,-0.002836103,-0.005143411,-0.00136944,0.001815103
-0.02530156,-0.090032685,-0.008405447,-0.055176768,-0.039733914,-0.015515999,-0.000178438,-0.015946272,-0.005994764,-0.004206292
0.001493511,0.044423811,0.045976104,0.025948165,0.030647456,0.01195656,-0.002026625,0.042740178,-0.002979326,-0.014263881
0.041047952,0.040694464,0.097791734,0.021658793,-0.015114239,0.010820885,-0.001214253,-0.002387993,-0.003538415,0.003346595
0.027317255,0.027455241,-0.044745867,0.015313004,-0.052450005,0.004289937,-0.003113718,-0.015825082,-0.005624703,0.001590526
0.019731232,-0.088195324,-0.01279267,-0.020912563,-0.03928248,-0.042886794,-0.004359048,-0.0164583,0.00279065,0.002266595
-0.061388253,-0.089617779,-0.035731697,-0.074576066,-0.029869988,0.006854243,-0.004410033,-0.008650955,-0.005007477,-0.000776179
0.036003182,0.023981785,-0.037821583,0.006964627,-0.056602578,0.006527181,-0.003697,-0.018530613,-0.007474568,-0.014698993
-0.074791624,-0.007891814,0.024498704,-0.021353954,0.058250672,-0.065460202,0.011309877,-0.008564173,-0.009168736,-0.001814962
0.039733858,0.038741512,0.041851471,0.021999042,0.037311553,0.008817173,-0.002201333,-0.004266496,-0.001891455,0.004363618
0.027380813,0.036610729,0.066108177,0.017684995,0.0309529,0.010880816,-0.001416306,-0.004310696,-0.000329778,-0.012651873
0.027657425,0.037537185,0.080072481,-0.040810898,-0.009954928,0.014332974,0.018628766,-0.000474113,-0.00257117,0.006330463
0.023095524,0.047779981,0.033024073,0.016764264,0.025440172,0.007049281,-0.001120548,-0.002919889,-0.000962856,0.003051072
0.030463761,0.018515559,0.013323258,0.008276337,-0.004883375,0.001702586,-0.00644348,-0.014351237,-0.007337082,-0.001159576
-0.060609942,-0.080772117,-0.027574216,-0.046989306,-0.032563578,-0.029181045,-0.00620096,-0.009855743,-0.003750413,-0.000674336
-0.07810964,-0.078948659,-0.020595245,0.018746743,0.0129581,-0.02781472,-0.003755333,-0.008941874,-0.00539036,-0.001133794
0.02571124,0.036801758,0.040889477,0.015219686,0.001549821,0.005513584,0.000365684,0.026992138,-0.002889601,0.000620883
